timestamp,frame,fps,latency_ms,yolo_inference_ms,face_mesh_ms,cpu_usage_percent
2026-08-20 19:52:04,271,40.71,6.97,0.0,3.92,65.0
2026-08-20 19:52:04,272,41.37,12.12,0.0,6.07,82.1
2026-08-20 19:52:04,273,40.02,32.01,21.95,3.74,68.3
2026-08-20 19:52:04,274,38.15,31.87,0.0,6.36,68.3
2026-08-20 19:52:04,275,38.79,7.84,0.0,4.86,65.0
2026-08-20 19:52:04,276,36.62,50.27,20.66,4.57,71.2
2026-08-20 19:52:04,277,37.75,7.59,0.0,4.28,65.0
2026-08-20 19:52:04,278,38.4,14.24,0.0,4.52,79.5
2026-08-20 19:52:05,279,36.78,28.24,21.95,3.18,71.7
2026-08-20 19:52:05,280,37.71,17.83,0.0,5.71,63.6
2026-08-20 19:52:05,281,38.91,6.49,0.0,3.51,65.0
2026-08-20 19:52:05,282,36.52,62.54,22.33,4.79,78.4
2026-08-20 19:52:05,283,36.04,10.17,0.0,4.85,62.8
2026-08-20 19:52:05,284,39.92,7.54,0.0,3.86,70.0
2026-08-20 19:52:05,285,38.63,27.97,20.67,4.12,82.5
2026-08-20 19:52:05,286,37.36,19.07,0.0,5.41,83.3
2026-08-20 19:52:05,287,38.57,8.84,0.0,5.11,76.3
2026-08-20 19:52:05,288,36.2,60.07,23.67,4.68,74.4
2026-08-20 19:52:05,289,36.45,6.47,0.0,3.51,72.5
2026-08-20 19:52:05,290,39.15,6.25,0.0,3.23,75.0
2026-08-20 19:52:05,291,37.65,31.54,24.18,3.98,75.0
2026-08-20 19:52:05,292,38.45,6.5,0.0,3.57,76.9
2026-08-20 19:52:05,293,38.49,16.73,0.0,12.45,71.4
2026-08-20 19:52:05,294,36.48,39.31,19.93,3.37,74.7
2026-08-20 19:52:05,295,38.38,9.29,0.0,4.31,63.6
2026-08-20 19:52:05,296,38.1,21.95,0.0,3.96,67.5
2026-08-20 19:52:05,297,36.89,28.38,18.8,4.91,85.0
2026-08-20 19:52:05,298,35.59,38.08,0.0,4.04,70.0
2026-08-20 19:52:05,299,37.99,7.54,0.0,3.53,75.0
2026-08-20 19:52:05,300,35.63,61.18,23.56,4.46,75.3
2026-08-20 19:52:05,301,35.94,7.46,0.0,3.39,56.5
2026-08-20 19:52:05,302,38.32,8.01,0.0,5.23,80.0
2026-08-20 19:52:05,303,37.11,30.29,22.28,4.85,74.6
2026-08-20 19:52:05,304,36.53,15.21,0.0,7.52,95.2
2026-08-20 19:52:05,305,38.3,10.12,0.0,6.43,100.0
2026-08-20 19:52:05,306,36.06,59.11,23.0,4.44,85.0
2026-08-20 19:52:05,307,37.24,7.32,0.0,4.53,70.0
2026-08-20 19:52:05,308,39.04,9.64,0.0,3.59,66.7
2026-08-20 19:52:06,309,37.92,29.45,22.5,4.04,72.1
2026-08-20 19:52:06,310,36.16,31.56,0.0,5.74,73.8
2026-08-20 19:52:06,311,36.3,10.81,0.0,6.73,80.0
2026-08-20 19:52:06,312,34.49,35.81,24.27,3.51,69.2
2026-08-20 19:52:06,313,34.73,17.39,0.0,14.17,75.0
2026-08-20 19:52:06,314,35.71,8.8,0.0,4.72,75.0
2026-08-20 19:52:06,315,34.7,31.88,24.05,4.65,80.0
2026-08-20 19:52:06,316,35.15,9.72,0.0,4.5,75.0
2026-08-20 19:52:06,317,38.66,8.17,0.0,4.75,85.7
2026-08-20 19:52:06,318,36.27,60.09,24.95,4.3,80.4
2026-08-20 19:52:06,319,36.45,7.82,0.0,4.59,75.0
2026-08-20 19:52:06,320,38.62,9.08,0.0,5.8,85.0
2026-08-20 19:52:06,321,37.44,30.38,22.83,4.63,78.0
2026-08-20 19:52:06,322,36.31,21.67,0.0,5.84,66.7
2026-08-20 19:52:06,323,38.54,7.09,0.0,3.95,70.0
2026-08-20 19:52:06,324,35.79,88.47,37.84,7.07,83.6
2026-08-20 19:52:06,325,37.29,12.4,0.0,5.6,100.0
2026-08-20 19:52:06,326,40.28,6.34,0.0,3.5,70.0
2026-08-20 19:52:06,327,38.96,27.56,20.96,3.58,74.6
2026-08-20 19:52:06,328,43.73,7.09,0.0,3.99,83.3
2026-08-20 19:52:06,329,45.28,8.46,0.0,3.43,72.7
2026-08-20 19:52:06,330,42.19,61.54,24.61,5.06,73.8
2026-08-20 19:52:06,331,41.93,8.46,0.0,5.35,75.0
2026-08-20 19:52:06,332,43.81,8.91,0.0,4.23,76.2
2026-08-20 19:52:06,333,42.02,31.46,22.61,5.7,75.0
2026-08-20 19:52:06,334,40.2,34.37,0.0,4.43,76.7
2026-08-20 19:52:06,335,43.12,8.41,0.0,5.3,78.9
2026-08-20 19:52:06,336,40.24,62.2,21.51,4.94,72.8
2026-08-20 19:52:06,337,40.48,8.43,0.0,5.25,85.4
2026-08-20 19:52:06,338,41.03,14.21,0.0,3.73,75.0
2026-08-20 19:52:07,339,38.93,32.13,24.09,4.96,80.0
2026-08-20 19:52:07,340,39.25,8.3,0.0,5.16,85.0
2026-08-20 19:52:07,341,40.91,10.25,0.0,7.09,80.0
2026-08-20 19:52:07,342,38.67,48.23,21.34,4.89,75.4
2026-08-20 19:52:07,343,39.09,8.09,0.0,5.04,78.1
2026-08-20 19:52:07,344,40.55,10.73,0.0,4.36,100.0
2026-08-20 19:52:07,345,39.24,31.06,20.37,5.33,77.6
2026-08-20 19:52:07,346,37.46,30.86,0.0,5.27,72.9
2026-08-20 19:52:07,347,37.65,8.82,0.0,4.46,73.9
2026-08-20 19:52:07,348,35.5,54.45,24.82,4.28,72.5
2026-08-20 19:52:07,349,37.55,8.76,0.0,5.66,70.0
2026-08-20 19:52:07,350,38.73,13.03,0.0,5.7,88.2
2026-08-20 19:52:07,351,36.89,31.28,22.77,4.42,72.6
2026-08-20 19:52:07,352,37.4,7.54,0.0,3.72,58.3
2026-08-20 19:52:07,353,39.89,7.63,0.0,3.66,65.0
2026-08-20 19:52:07,354,37.49,54.65,22.24,5.09,72.5
2026-08-20 19:52:07,355,40.41,6.65,0.0,3.68,61.9
2026-08-20 19:52:07,356,40.35,16.1,0.0,5.06,67.5
2026-08-20 19:52:07,357,38.42,31.67,23.8,3.85,79.7
2026-08-20 19:52:07,358,37.31,29.68,0.0,7.52,73.8
2026-08-20 19:52:07,359,39.25,8.41,0.0,5.37,75.0
2026-08-20 19:52:07,360,36.88,57.01,22.24,5.57,77.5
2026-08-20 19:52:07,361,41.83,6.6,0.0,3.87,75.0
2026-08-20 19:52:07,362,40.93,21.49,0.0,3.41,73.8
2026-08-20 19:52:07,363,39.41,28.45,19.34,4.02,70.5
2026-08-20 19:52:07,364,39.23,7.01,0.0,3.74,75.0
2026-08-20 19:52:07,365,39.27,16.68,0.0,12.67,70.0
2026-08-20 19:52:07,366,37.08,42.26,20.08,6.2,72.8
2026-08-20 19:52:07,367,40.87,7.6,0.0,4.01,100.0
2026-08-20 19:52:07,368,39.8,25.32,0.0,4.63,73.2
2026-08-20 19:52:08,369,38.37,33.2,20.01,8.05,75.0
2026-08-20 19:52:08,370,37.1,23.38,0.0,4.62,78.2
2026-08-20 19:52:08,371,40.2,6.58,0.0,3.57,65.2
2026-08-20 19:52:08,372,37.67,57.83,19.47,4.71,71.6
2026-08-20 19:52:08,373,41.48,7.0,0.0,3.99,78.9
2026-08-20 19:52:08,374,40.48,23.2,0.0,4.01,64.3
2026-08-20 19:52:08,375,38.97,30.77,22.23,5.32,76.9
2026-08-20 19:52:08,376,39.06,7.81,0.0,4.11,71.4
2026-08-20 19:52:08,377,42.27,6.09,0.0,3.37,70.0
2026-08-20 19:52:08,378,39.47,60.42,21.88,3.51,66.7
2026-08-20 19:52:08,379,39.54,6.77,0.0,3.63,71.8
2026-08-20 19:52:08,380,40.63,10.64,0.0,5.44,85.0
2026-08-20 19:52:08,381,39.59,27.76,19.09,5.5,69.2
2026-08-20 19:52:08,382,37.74,43.17,0.0,5.37,68.2
2026-08-20 19:52:08,383,40.95,9.0,0.0,4.86,65.0
2026-08-20 19:52:08,384,38.28,62.97,20.81,4.3,72.5
2026-08-20 19:52:08,385,37.44,18.13,0.0,13.66,70.0
2026-08-20 19:52:08,386,38.31,7.85,0.0,4.73,70.0
2026-08-20 19:52:08,387,37.06,31.26,22.65,4.71,72.9
